PLAYER,YEAR,PTS,AST,REB,STL,BLK
Steve Nash,2007,16.9,11.1,3.4,0.7,0.1
Tim Duncan,2007,19.3,2.8,11.3,0.7,1.9
Tyson Chandler,2007,11.8,1.0,11.8,0.6,1.1
Chris Bosh,2008,22.7,2.5,10.0,0.9,1.0
Chris Paul,2008,22.8,11.0,5.6000000000000005,2.8,0.1
David Lee,2008,16.0,2.1,11.8,1.0,0.3
Dwight Howard,2008,20.6,1.4,13.899999999999999,1.0,2.9
Emeka Okafor,2008,13.2,0.6,10.1,0.6,1.7
Tim Duncan,2008,19.3,3.5,10.7,0.5,1.7
Troy Murphy,2008,14.3,2.4,11.8,0.8,0.5
Carlos Boozer,2009,19.5,3.2,11.2,1.1,0.5
Chris Bosh,2009,24.0,2.4,10.8,0.6,1.0
David Lee,2009,20.2,3.6,11.7,1.0,0.5
Deron Williams,2009,18.7,10.5,4.0,1.3,0.2
Dwight Howard,2009,18.3,1.8,13.2,0.9,2.8
Gerald Wallace,2009,18.2,2.1,10.1,1.5,1.1
Steve Nash,2009,16.5,11.0,3.3,0.5,0.1
Tim Duncan,2009,17.9,3.2,10.1,0.6,1.5
Troy Murphy,2009,14.6,2.1,10.200000000000001,1.0,0.5
Zach Randolph,2009,20.8,1.8,11.8,1.0,0.4
